ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008289	lipid binding	2/46	492/18556	0.0040650406504065	1.63980205019442	0.717013614955735	0.345605744266813	0.389353306832233	0.31774545442252	syt6a/osbpl1a	2
GO:0016758	hexosyltransferase activity	1/46	174/18556	0.00574712643678161	2.31834082958521	0.870987919905636	0.352027416249275	0.391630500577318	0.319603838436841	gcnt1	1
GO:0003682	chromatin binding	1/46	180/18556	0.00555555555555556	2.24106280193237	0.834085758743054	0.361697165827871	0.397420342699759	0.324328842652672	cdc45	1
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	1/46	209/18556	0.00478468899521531	1.93010193467859	0.674104685998125	0.406479575902579	0.441179051894262	0.360039675703183	cers5	1
GO:0008237	metallopeptidase activity	1/46	233/18556	0.00429184549356223	1.73129315170741	0.559986248141676	0.441203761096784	0.473098008886913	0.386088262722614	LOC103143124	1
GO:0005085	guanyl-nucleotide exchange factor activity	1/46	238/18556	0.00420168067226891	1.69492144683961	0.537887376619477	0.448183694914218	0.474861295801969	0.387527255001015	LOC103143117	1
GO:0050839	cell adhesion molecule binding	1/46	258/18556	0.00387596899224806	1.56353218739467	0.454394382732021	0.475260426465309	0.497625623004853	0.406104884533825	itga3b	1
GO:0008047	enzyme activator activity	1/46	302/18556	0.0033112582781457	1.33573279585373	0.293240803816005	0.530335254667104	0.548835321690375	0.447896359510773	cab39	1
GO:0005543	phospholipid binding	1/46	319/18556	0.00313479623824451	1.26454954341011	0.237592017092681	0.550063570959443	0.562708710521729	0.459218226209335	syt6a	1
GO:0030695	GTPase regulator activity	1/46	431/18556	0.00232018561484919	0.935942701503077	-0.0670771238245726	0.661209684732974	0.661209684732974	0.539603409184804	LOC103143117	1
GO:0060589	nucleoside-triphosphatase regulator activity	1/46	431/18556	0.00232018561484919	0.935942701503077	-0.0670771238245726	0.661209684732974	0.661209684732974	0.539603409184804	LOC103143117	1
