ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0019318	hexose metabolic process	2/38	71/17195	0.028169014084507	12.7464788732394	4.66760235804658	0.010736488156956	0.237416411417448	0.205012565791337	LOC103135452/pmm2	2
GO:0005996	monosaccharide metabolic process	2/38	79/17195	0.0253164556962025	11.4556962025316	4.38353972525987	0.0131650178436031	0.237416411417448	0.205012565791337	LOC103135452/pmm2	2
GO:0007163	establishment or maintenance of cell polarity	2/38	79/17195	0.0253164556962025	11.4556962025316	4.38353972525987	0.0131650178436031	0.237416411417448	0.205012565791337	LOC103143092/LOC103153272	2
GO:0048284	organelle fusion	2/38	102/17195	0.0196078431372549	8.87254901960784	3.75289053451384	0.0213222760072486	0.237416411417448	0.205012565791337	stx17/mcl1b	2
GO:0009226	nucleotide-sugar biosynthetic process	1/38	10/17195	0.1	45.25	6.58715815306207	0.0218866357419498	0.237416411417448	0.205012565791337	pmm2	1
GO:0006995	cellular response to nitrogen starvation	1/38	11/17195	0.0909090909090909	41.1363636363636	6.26659773221735	0.0240494700650106	0.237416411417448	0.205012565791337	atg7	1
GO:0043562	cellular response to nitrogen levels	1/38	11/17195	0.0909090909090909	41.1363636363636	6.26659773221735	0.0240494700650106	0.237416411417448	0.205012565791337	atg7	1
GO:0006000	fructose metabolic process	1/38	12/17195	0.0833333333333333	37.7083333333333	5.98639512505811	0.026207647447316	0.237416411417448	0.205012565791337	LOC103135452	1
GO:0006002	fructose 6-phosphate metabolic process	1/38	12/17195	0.0833333333333333	37.7083333333333	5.98639512505811	0.026207647447316	0.237416411417448	0.205012565791337	LOC103135452	1
GO:0055003	cardiac myofibril assembly	1/38	12/17195	0.0833333333333333	37.7083333333333	5.98639512505811	0.026207647447316	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0000727	double-strand break repair via break-induced replication	1/38	13/17195	0.0769230769230769	34.8076923076923	5.73865253477479	0.0283611776455933	0.237416411417448	0.205012565791337	cdc45	1
GO:0006734	NADH metabolic process	1/38	13/17195	0.0769230769230769	34.8076923076923	5.73865253477479	0.0283611776455933	0.237416411417448	0.205012565791337	gpd1	1
GO:0006998	nuclear envelope organization	1/38	13/17195	0.0769230769230769	34.8076923076923	5.73865253477479	0.0283611776455933	0.237416411417448	0.205012565791337	sun1b	1
GO:0008053	mitochondrial fusion	1/38	13/17195	0.0769230769230769	34.8076923076923	5.73865253477479	0.0283611776455933	0.237416411417448	0.205012565791337	mcl1b	1
GO:1902969	mitotic DNA replication	1/38	13/17195	0.0769230769230769	34.8076923076923	5.73865253477479	0.0283611776455933	0.237416411417448	0.205012565791337	cdc45	1
GO:0003009	skeletal muscle contraction	1/38	14/17195	0.0714285714285714	32.3214285714286	5.51748225168516	0.0305100703966977	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0044804	nucleophagy	1/38	14/17195	0.0714285714285714	32.3214285714286	5.51748225168516	0.0305100703966977	0.237416411417448	0.205012565791337	atg7	1
GO:0050879	multicellular organismal movement	1/38	14/17195	0.0714285714285714	32.3214285714286	5.51748225168516	0.0305100703966977	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0050881	musculoskeletal movement	1/38	14/17195	0.0714285714285714	32.3214285714286	5.51748225168516	0.0305100703966977	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0050982	detection of mechanical stimulus	1/38	14/17195	0.0714285714285714	32.3214285714286	5.51748225168516	0.0305100703966977	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0055006	cardiac cell development	1/38	14/17195	0.0714285714285714	32.3214285714286	5.51748225168516	0.0305100703966977	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0055013	cardiac muscle cell development	1/38	14/17195	0.0714285714285714	32.3214285714286	5.51748225168516	0.0305100703966977	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0008637	apoptotic mitochondrial changes	1/38	15/17195	0.0666666666666667	30.1666666666667	5.31839307107162	0.0326543354176464	0.237416411417448	0.205012565791337	mcl1b	1
GO:0035051	cardiocyte differentiation	1/38	15/17195	0.0666666666666667	30.1666666666667	5.31839307107162	0.0326543354176464	0.237416411417448	0.205012565791337	zmp:0000000930	1
GO:0050821	protein stabilization	1/38	15/17195	0.0666666666666667	30.1666666666667	5.31839307107162	0.0326543354176464	0.237416411417448	0.205012565791337	bag1	1
