ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0034992	microtubule organizing center attachment site	1/36	12/15890	0.0833333333333333	36.7824074074074	5.90870606874034	0.026859871030708	0.324328036971215	0.294308563494751	sun1b	1
GO:0034993	meiotic nuclear membrane microtubule tethering complex	1/36	12/15890	0.0833333333333333	36.7824074074074	5.90870606874034	0.026859871030708	0.324328036971215	0.294308563494751	sun1b	1
GO:0106083	nuclear membrane protein complex	1/36	12/15890	0.0833333333333333	36.7824074074074	5.90870606874034	0.026859871030708	0.324328036971215	0.294308563494751	sun1b	1
GO:0106094	nuclear membrane microtubule tethering complex	1/36	12/15890	0.0833333333333333	36.7824074074074	5.90870606874034	0.026859871030708	0.324328036971215	0.294308563494751	sun1b	1
GO:0000421	autophagosome membrane	1/36	14/15890	0.0714285714285714	31.5277777777778	5.44526186937368	0.031267785176488	0.324328036971215	0.294308563494751	stx17	1
GO:0016514	SWI/SNF complex	1/36	17/15890	0.0588235294117647	25.9640522875817	4.9072721286501	0.0378432814494206	0.324328036971215	0.294308563494751	smarcd1	1
GO:0005771	multivesicular body	1/36	19/15890	0.0526315789473684	23.2309941520468	4.62023052469501	0.0422028166883136	0.324328036971215	0.294308563494751	chmp5a	1
GO:0010494	cytoplasmic stress granule	1/36	21/15890	0.0476190476190476	21.0185185185185	4.37418258714318	0.0465431451370308	0.324328036971215	0.294308563494751	si:ch211-214j24.10	1
GO:0000407	phagophore assembly site	1/36	26/15890	0.0384615384615385	16.9764957264957	3.88500835333113	0.0573104752274395	0.324328036971215	0.294308563494751	atg7	1
GO:1990204	oxidoreductase complex	1/36	30/15890	0.0333333333333333	14.712962962963	3.58237004585744	0.0658391354378737	0.324328036971215	0.294308563494751	gpd1	1
GO:0030027	lamellipodium	1/36	32/15890	0.03125	13.7934027777778	3.45196959252674	0.0700752869525945	0.324328036971215	0.294308563494751	LOC103143142	1
GO:0005776	autophagosome	1/36	34/15890	0.0294117647058824	12.9820261437909	3.3327520848581	0.0742927599856809	0.324328036971215	0.294308563494751	stx17	1
GO:0008305	integrin complex	1/36	37/15890	0.027027027027027	11.9294294294294	3.17155851427154	0.0805841223263959	0.324328036971215	0.294308563494751	itga3b	1
GO:0098636	protein complex involved in cell adhesion	1/36	39/15890	0.0256410256410256	11.3176638176638	3.07408201139526	0.0847552484982386	0.324328036971215	0.294308563494751	itga3b	1
GO:0009897	external side of plasma membrane	2/36	257/15890	0.00778210116731518	3.43493298746217	1.8752644345514	0.114807986177538	0.324328036971215	0.294308563494751	itga3b/LOC103138244	2
GO:0005741	mitochondrial outer membrane	1/36	62/15890	0.0161290322580645	7.11917562724014	2.30041318456402	0.131420351116846	0.324328036971215	0.294308563494751	mcl1b	1
GO:0045121	membrane raft	1/36	63/15890	0.0158730158730159	7.00617283950617	2.27613965553025	0.13339589239558	0.324328036971215	0.294308563494751	LOC103138244	1
GO:0098857	membrane microdomain	1/36	63/15890	0.0158730158730159	7.00617283950617	2.27613965553025	0.13339589239558	0.324328036971215	0.294308563494751	LOC103138244	1
GO:0031201	SNARE complex	1/36	64/15890	0.015625	6.89670138888889	2.25239029692067	0.135367064940835	0.324328036971215	0.294308563494751	stx17	1
GO:0043197	dendritic spine	1/36	64/15890	0.015625	6.89670138888889	2.25239029692067	0.135367064940835	0.324328036971215	0.294308563494751	LOC103143092	1
GO:0044309	neuron spine	1/36	64/15890	0.015625	6.89670138888889	2.25239029692067	0.135367064940835	0.324328036971215	0.294308563494751	LOC103143092	1
